id	title	current_author	primary_author	attribution_status	conflation	source	note
SA_GV01_rv_05_u	Ṛgveda 5	anonymous/traditional (hymns attributed to the Atri family of ṛṣis)	Multiple ṛṣis (anthology); traditionally the Atri family (Ātreyas)	traditional	True	gretil-header; web:https://en.wikipedia.org/wiki/Anukrama%E1%B9%87%C4%AB	Maṇḍala 5 is an anthology of hymns by many distinct Ātreya poets over generations — one title conflates numerous authors; family ascription traditional, individual-hymn ascriptions (Anukramaṇī) of doubtful historicity.
SA_GV01_rv_06_u	Ṛgveda 6	anonymous/traditional (hymns attributed to Bharadvāja and the Bārhaspatya Aṅgirasas)	Multiple ṛṣis (anthology); traditionally the Bharadvāja family (Bārhaspatya Aṅgirasas)	traditional	True	gretil-header; web:https://en.wikipedia.org/wiki/Anukrama%E1%B9%87%C4%AB	Anthology of hymns by many distinct Bhāradvāja poets — one title conflates numerous authors; family ascription traditional.
SA_GV01_rv_hn08u	Ṛgveda: Maṇḍala 8	anonymous/traditional (hymns largely attributed to the Kāṇva and Āṅgirasa families)	Multiple ṛṣis (mixed anthology); largely Kāṇva and Āṅgirasa families	traditional	True	gretil-header; web:https://en.wikipedia.org/wiki/Anukrama%E1%B9%87%C4%AB	Mixed anthology (Kāṇvas + Āṅgirasas, incl. Vālakhilya hymns) — distinct from the pure family books 2-7; conflates many authors across families.
SA_GV01_rv_hn02u	Ṛgveda: Maṇḍala 2	anonymous/traditional (hymns attributed to Gṛtsamada and his family)	Multiple ṛṣis (anthology); traditionally Gṛtsamada Śaunahotra and family	traditional	True	gretil-header; web:https://en.wikipedia.org/wiki/Anukrama%E1%B9%87%C4%AB	Anthology of hymns by Gṛtsamada and family poets — one title conflates multiple authors; family ascription traditional. (Duplicate maṇḍala-2 entry, see rv_02_u.)
SA_GV01_rv_03_u	Ṛgveda 3	anonymous/traditional (Viśvāmitra family)	Multiple ṛṣis (anthology); traditionally the Viśvāmitra family (Kauśikas)	traditional	True	gretil-header; web:https://en.wikipedia.org/wiki/Anukrama%E1%B9%87%C4%AB	Anthology of hymns by Viśvāmitra-clan poets — one title conflates many authors; family ascription traditional.
SA_GV01_rv_02_u	Ṛgveda 2	anonymous/traditional (Gṛtsamada family)	Multiple ṛṣis (anthology); traditionally Gṛtsamada Śaunahotra and family	traditional	True	gretil-header; web:https://en.wikipedia.org/wiki/Anukrama%E1%B9%87%C4%AB	Anthology of hymns by Gṛtsamada and family poets — one title conflates multiple authors; family ascription traditional. (Same maṇḍala as rv_hn02u, alternate digitization.)
SA_GV01_rv_07_u	Ṛgveda 7	anonymous/traditional (hymns attributed to Vasiṣṭha and his family)	anonymous (traditionally the Vasiṣṭha family of ṛṣis)	traditional	False	gretil-header; secondary:cleaned_History of civilisation in ancient India_.txt; secondary:cleaned_Understanding Mantras_Harvey P. Alper, 1989.txt	A 'family book' (gotra-maṇḍala): Maṇḍala VII traditionally composed by Vasiṣṭha and descendants. No single historical author; ascription is to a lineage of seers, not one person.
SA_GV01_rv_10_u	Ṛgveda 10	anonymous/traditional (many families; latest stratum)	anonymous (composite; many families/seers, latest stratum of the RV)	anonymous	False	gretil-header; secondary:cleaned_Origins and early History of Maharatnakuta Tradition_Silk, 1994.txt; secondary:cleaned_Contrary Thinking_Daya Krishna et al., 2011.txt	Latest layer of the Ṛgveda; not a family book. Many traditional seer-ascriptions in the Anukramaṇī but no unifying author; genuinely anonymous/composite.
SA_GV00_samavedu	Sāmaveda-Saṃhitā	anonymous/traditional (Vedic seers)	anonymous (Kauthuma śākhā; verses largely drawn from the Ṛgveda)	anonymous	False	gretil-header; secondary:cleaned_Samyuktaabhidharmahrdaya. Heart of Scholasticism. II_Bart Dessein, 1999.txt	Kauthuma recension. Saṃhitā is a chant-book: the great majority of its verses are Ṛgvedic, set to sāman melodies; compiler(s) anonymous, no single seer.
SA_GV00_avs___u	Atharvaveda-Saṃhitā	anonymous/traditional (Vedic ṛṣis; ascribed to Atharvan and Aṅgiras)	anonymous (Śaunaka recension; traditionally Atharvan and Aṅgiras)	traditional	False	gretil-header; secondary:cleaned_History of religion East and West_Trevor Ling.txt; secondary:cleaned_Understanding Mantras_Harvey P. Alper, 1989.txt	Śaunaka (Saunaka) recension, unaccented base. Name Atharvāṅgirasaḥ reflects ascription to two priestly lineages (Atharvan = auspicious/healing, Aṅgiras = hostile/sorcery hymns); no single historical author.
SA_GV00_avs	Atharvaveda-Saṃhitā	anonymous/traditional (Vedic seers; Śaunaka recension)	anonymous (Śaunaka recension, accented; traditionally Atharvan and Aṅgiras)	traditional	False	gretil-header; secondary:cleaned_History of religion East and West_Trevor Ling.txt	Accented Śaunaka recension (duplicate of the AV Saṃhitā with Vedic accents). Same anonymous/traditional status as the unaccented item; ascribed to Atharvan and Aṅgiras lineages.
SA_GV_syajurvedu	Śukla-Yajurveda	anonymous/traditional (associated with the sage Yājñavalkya)	anonymous (Vājasaneyi-Saṃhitā; Yājñavalkya as legendary school-founder)	traditional	False	tradition; secondary:cleaned_IN SEARCH OF A SAGE. YAJNAVALKYA AND ANCIENT INDIAN LITERARY MEMORY_Steven Edward Lindquist.txt	White (Śukla) Yajurveda = Vājasaneyi-Saṃhitā. Yājñavalkya is the legendary eponymous founder/redactor (received from Sūrya/Āditya), not an attestable author; the Saṃhitā of ritual formulae is itself anonymous. Mahīdhara (commentary) and Weber (editor) are separate roles, not authors of the text.
SA_GV00_sa_paippalAdasaMhitA	Paippalāda-Saṃhitā	anonymous/traditional (Paippalāda school)	anonymous (Paippalāda recension of the Atharvaveda)	anonymous	False	secondary:cleaned_Vedic Literature. Samhitas and Brahmanas_Jan Gonda, 1975.txt | gretil-header	Traditional ascription to the Paippalāda śākhā of the Atharvaveda; collective/anonymous Vedic transmission, not an individual.
SA_GV00_maitrs_pu	Maitrāyaṇī-Saṃhitā	anonymous/traditional (Maitrāyaṇīya school)	anonymous (Maitrāyaṇīya śākhā of the Black Yajurveda)	anonymous	False	tradition | secondary:cleaned_Vedic Literature. Samhitas and Brahmanas_Jan Gonda, 1975.txt	Named after the Maitrāyaṇīya school (eponym Maitri/Mitra), not an attested author; anonymous Vedic Saṃhitā.
SA_GV02_pncvbr1u	Pañcaviṃśabrāhmaṇa	anonymous/traditional	anonymous (Tāṇḍya/Pañcaviṃśa Brāhmaṇa of the Sāmaveda)	anonymous	False	secondary:cleaned_Vedic Literature. Samhitas and Brahmanas_Jan Gonda, 1975.txt | gretil-header	= Tāṇḍya-Mahābrāhmaṇa. Eponym Tāṇḍya/Tāṇḍin is a legendary promulgator, not a demonstrable author. Sāyaṇa's commentary (in the print edition) is by a distinct 14th-c. author but is not part of this Brāhmaṇa e-text.
SA_GV02_gopthbru	Gopatha-Brāhmaṇa	anonymous/traditional	anonymous (Gopatha-Brāhmaṇa, sole Brāhmaṇa of the Atharvaveda)	anonymous	False	secondary:cleaned_Sinister Yogis_David Gordon White, 2009.txt | secondary:cleaned_Vac...Andre Padoux, 1990.txt	Same work as the Gaastra-edition entry below (Bibliotheca Indica vs Leiden 1919). 'Gopatha' is the school/eponym, not an attested individual author; widely judged a late composite of borrowed passages.
SA_GV02_gopbra_u	Gopathabrāhmaṇa	anonymous/traditional (attributed to Gopatha)	anonymous (Gopatha-Brāhmaṇa, Atharvaveda)	anonymous	False	tradition | secondary:cleaned_Sinister Yogis_David Gordon White, 2009.txt	Duplicate title of the preceding item (Gaastra ed. 1919). 'Attributed to Gopatha' is a traditional eponym, not a demonstrable author; remains anonymous.
SA_GV02_kausibru	Kauṣītaki-Brāhmaṇa [Śāṅkhāyana-Brāhmaṇa]	anonymous/traditional (associated with the sage Kauṣītaki and his school Śāṅkhāyana)	anonymous (Kauṣītaki- / Śāṅkhāyana-Brāhmaṇa of the Ṛgveda)	anonymous	False	gretil-header | secondary:cleaned_Vedic Literature. Samhitas and Brahmanas_Jan Gonda, 1975.txt	Kauṣītaki and Śāṅkhāyana are alternative names for the same Brāhmaṇa, not two distinct authors — eponymous sage/school, not a conflation of authors. Anonymous Vedic school text.
SA_GV03_sb_13_u	Śatapatha-Brāhmaṇa 13	anonymous/traditional (attributed to the school of Yājñavalkya)	anonymous (compiled); traditionally Yājñavalkya (kāṇḍa 13 belongs to the Yājñavalkya section, books 11-13)	traditional	True	secondary:cleaned_IN SEARCH OF A SAGE. YAJNAVALKYA...Lindquist; gretil-header; web:https://en.wikipedia.org/wiki/Shatapatha_Brahmana	Kāṇḍa 13 = Yājñavalkya section (books 11-13). Underlying brāhmaṇa is anonymous, multiply-redacted; 'Yājñavalkya' is a traditional/legendary authority not a real single author. Conflation flagged: the title ŚB conflates the Yājñavalkya authority (1-5,11-13) and the Śāṇḍilya authority (6-10), plus the edition's three commentators (Sāyaṇa, Harisvāmin, Dvivedaganga).
SA_GV03_sb_03_u	Śatapatha-Brāhmaṇa	anonymous/traditional (associated with Yājñavalkya in parts)	anonymous (compiled); traditionally Yājñavalkya (kāṇḍa 3 belongs to the Yājñavalkya section, books 1-5)	traditional	True	secondary:cleaned_IN SEARCH OF A SAGE. YAJNAVALKYA...Lindquist; gretil-header; web:https://en.wikipedia.org/wiki/Shatapatha_Brahmana	Kāṇḍa 3 = Yājñavalkya section (books 1-5). Anonymous compiled text; Yājñavalkya is a traditional authority. Conflation flagged: title ŚB conflates Yājñavalkya (1-5,11-13) and Śāṇḍilya (6-10) authorities plus three commentators in Weber's edition.
SA_GV03_sb_07_u	Śatapatha-Brāhmaṇa 7	anonymous/traditional (Kāṇḍas 6-10 proclaimed by Śāṇḍilya)	anonymous (compiled); traditionally Śāṇḍilya (kāṇḍa 7 belongs to the Śāṇḍilya section, books 6-10)	traditional	True	secondary:cleaned_IN SEARCH OF A SAGE. YAJNAVALKYA...Lindquist; gretil-header	Kāṇḍa 7 = Śāṇḍilya section (books 6-10, the agnicayana material). Distinct traditional authority (Śāṇḍilya) from the Yājñavalkya books. Conflation flagged for the overall ŚB title (Yājñavalkya vs Śāṇḍilya + three commentators).
SA_GV03_sb_06_u	Śatapatha-Brāhmaṇa 6	anonymous/traditional (Kāṇḍas 6-10 proclaimed by Śāṇḍilya)	anonymous (compiled); traditionally Śāṇḍilya (kāṇḍa 6 belongs to the Śāṇḍilya section, books 6-10)	traditional	True	secondary:cleaned_IN SEARCH OF A SAGE. YAJNAVALKYA...Lindquist; gretil-header	Kāṇḍa 6 = Śāṇḍilya section (books 6-10), the start of the agnicayana. Distinct traditional authority from the Yājñavalkya books. Conflation flagged for the overall ŚB title.
SA_GV03_sb_02_u	Śatapatha-Brāhmaṇa 2	anonymous/traditional (work attributed to Yājñavalkya)	anonymous (compiled); traditionally Yājñavalkya (kāṇḍa 2 belongs to the Yājñavalkya section, books 1-5)	traditional	True	secondary:cleaned_IN SEARCH OF A SAGE. YAJNAVALKYA...Lindquist; gretil-header; web:https://en.wikipedia.org/wiki/Shatapatha_Brahmana	Kāṇḍa 2 = Yājñavalkya section (books 1-5). Anonymous compiled text; Yājñavalkya is a traditional authority. Conflation flagged for the overall ŚB title (Yājñavalkya vs Śāṇḍilya + three commentators).
SA_GV03_sb_09_u	Śatapatha-Brāhmaṇa 9	anonymous/traditional (Kāṇḍas 6-10 proclaimed by Śāṇḍilya)	anonymous (compiled); traditionally Śāṇḍilya (kāṇḍa 9 belongs to the Śāṇḍilya section, books 6-10)	traditional	True	secondary:cleaned_IN SEARCH OF A SAGE. YAJNAVALKYA...Lindquist; gretil-header	Kāṇḍa 9 = Śāṇḍilya section (books 6-10). Distinct traditional authority from the Yājñavalkya books. Conflation flagged for the overall ŚB title.
SA_GV03_sb_01_u	Śatapatha-Brāhmaṇa 1	anonymous/traditional (the work as a whole is attributed to Yājñavalkya; Kāṇḍas 1-5 closely associated with him)	Anonymous (Vājasaneyin/White-Yajurveda school; tradition: Yājñavalkya Vājasaneya)	traditional	True	secondary:cleaned_Vedic Literature. Samhitas and Brahmanas_Jan Gonda, 1975.txt; secondary:cleaned_Geschichte der altindischen Literatur_Klaus Mylius_2003 (1983).txt; gretil-header; web:en.wikipedia.org/wiki/Shatapatha_Brahmana	Kāṇḍa 1 falls in the Yājñavalkya layer (I-V). Base text anonymous school compilation, traditionally ascribed to Yājñavalkya. Edition conflates distinct commentators Sāyaṇa, Harisvāmin, Dvivedagaṅga.
SA_GV03_sb	Śatapatha-Brāhmaṇa	anonymous/traditional (associated with Yājñavalkya in parts)	Anonymous (Vājasaneyin school compilation; layers: Yājñavalkya, Kāṇḍas I-V; Śāṇḍilya, Kāṇḍas VI-X)	conflated	True	secondary:cleaned_Vedic Literature. Samhitas and Brahmanas_Jan Gonda, 1975.txt; secondary:cleaned_Geschichte der altindischen Literatur_Klaus Mylius_2003 (1983).txt; web:en.wikipedia.org/wiki/Shatapatha_Brahmana	Whole-work record: conflates the Yājñavalkya-school layer (I-V) and the Śāṇḍilya layer (VI-X); concludes with Bṛhadāraṇyaka-Upaniṣad in Kāṇḍa XIV. Plus three distinct commentators in the edition. Fundamentally anonymous compilation with traditional school ascriptions.
SA_GV03_sb_04_u	Śatapatha-Brāhmaṇa 4	anonymous/traditional (work attributed to Yājñavalkya)	Anonymous (Vājasaneyin/White-Yajurveda school; tradition: Yājñavalkya Vājasaneya)	traditional	True	secondary:cleaned_Vedic Literature. Samhitas and Brahmanas_Jan Gonda, 1975.txt; secondary:cleaned_Geschichte der altindischen Literatur_Klaus Mylius_2003 (1983).txt; gretil-header	Kāṇḍa 4 (Agniṣṭoma material) in the Yājñavalkya layer (I-V). Anonymous base text with traditional Yājñavalkya ascription; edition conflates three named commentators.
SA_GV03_sb_10_u	Śatapatha-Brāhmaṇa 10	anonymous/traditional (Kāṇḍas 6-10 proclaimed by Śāṇḍilya)	Anonymous (Vājasaneyin school; Agnirahasya layer — tradition: Śāṇḍilya)	traditional	True	secondary:cleaned_Vedic Literature. Samhitas and Brahmanas_Jan Gonda, 1975.txt; secondary:cleaned_Geschichte der altindischen Literatur_Klaus Mylius_2003 (1983).txt; gretil-header	Kāṇḍa 10 = Agnirahasya; Śāṇḍilya is the chief authority (distinct from the Yājñavalkya layer). Anonymous base with traditional Śāṇḍilya ascription; edition conflates three named commentators. Current_author already correct.
SA_GV03_sb_11_u	Śatapatha-Brāhmaṇa 11	anonymous/traditional (attributed to the school of Yājñavalkya)	Anonymous (Vājasaneyin school; later/addenda books — tradition: Yājñavalkya)	traditional	True	secondary:cleaned_Vedic Literature. Samhitas and Brahmanas_Jan Gonda, 1975.txt; secondary:cleaned_Geschichte der altindischen Literatur_Klaus Mylius_2003 (1983).txt; gretil-header	Kāṇḍa 11 (résumés / paśubandha) — Yājñavalkya prominent again; an addenda book completed after the core layers. Anonymous base, traditional Yājñavalkya-school ascription; edition conflates three named commentators. Current_author already correct.
SA_GV03_sb_14_u	Śatapatha-Brāhmaṇa 14	anonymous/traditional (attributed to the school of Yājñavalkya)	Anonymous (Vājasaneyin school; concludes with Bṛhadāraṇyaka-Upaniṣad — Yājñavalkyakāṇḍa = BAU 3-4)	traditional	True	secondary:cleaned_Geschichte der altindischen Literatur_Klaus Mylius_2003 (1983).txt; secondary:cleaned_Vedic Literature. Samhitas and Brahmanas_Jan Gonda, 1975.txt; gretil-header	Kāṇḍa 14 is itself layered: Pravargya (adh. 1-3) + Bṛhadāraṇyaka-Upaniṣad (adh. 4-9), whose books 3-4 are the Yājñavalkyakāṇḍa. Anonymous base, strong traditional Yājñavalkya association; edition conflates three named commentators.
SA_GV03_sb_08_u	Śatapatha-Brāhmaṇa 8	anonymous/traditional (Kāṇḍas 6-10 proclaimed by Śāṇḍilya)	anonymous (śruti; Mādhyandina/Vājasaneyi school)	anonymous	False	gretil-header + secondary:cleaned_Encyclopedia of Indian Philosophies, Vol. 3 - Potter 1981.txt	Anonymous śruti. Traditional ascription of Kāṇḍas 6-10 to Śāṇḍilya is a proclaimer/teacher attribution, not authorship. No commentator conflation in the e-text (mūla-only).
SA_GV01_rvkhilau	The Khila Verses of the Ṛgveda	anonymous/traditional	anonymous (multiple ṛṣis; apocryphal Ṛgvedic supplements)	anonymous	False	gretil-header + secondary:cleaned_Understanding Mantras_Harvey P. Alper, 1989.txt	Anonymous collection of apocryphal supplementary hymns. Individual hymns ascribed to various ṛṣis in the anukramaṇī, but that is a per-hymn liturgical convention, not unified authorship; not flagged as a single-title conflation of distinct authors.
SA_GV04_sankharu	Śāṅkhāyana-Āraṇyaka	anonymous/traditional (Śāṅkhāyana/Kauṣītaki school)	anonymous (śruti; Śāṅkhāyana/Kauṣītaki school of the Ṛgveda)	anonymous	False	gretil-header	Anonymous śruti Āraṇyaka of the Śāṅkhāyana/Kauṣītaki śākhā. School name is eponymous of a tradition, not an established individual author. No commentator conflation.
SA_GV05_chup___u	Chāndogya-Upaniṣad	anonymous/traditional (Vedic ṛṣis)	anonymous (śruti; Chāndogya/Sāmaveda tradition)	anonymous	False	gretil-header + secondary:cleaned_Indian Philosophy_Jharkand Rai University.txt	Anonymous śruti Upaniṣad embedded in the Sāmaveda's Chāndogya-Brāhmaṇa. Mūla-only extraction, so no Śaṅkara-bhāṣya conflation in the e-text.
SA_GV05_brup___u	Bṛhadāraṇyaka-Upaniṣad	anonymous/traditional (closely associated with the sage Yājñavalkya)	anonymous (śruti; Kāṇva recension, White Yajurveda)	anonymous	False	gretil-header + secondary:cleaned_Graceful Exits_Sushila Blackman.txt	Anonymous śruti Upaniṣad forming part of the Śatapatha-Brāhmaṇa (White Yajurveda), Kāṇva recension. Traditional association with Yājñavalkya is a dialogue/teacher attribution, not authorship. Śaṅkara-bhāṣya not present (mūla-only); no conflation.
SA_GV05_chup	Chāndogya-Upaniṣad	anonymous/traditional (Vedic seers)	anonymous (śruti; Chāndogya/Sāmaveda tradition)	anonymous	False	gretil-header + secondary:cleaned_Indian Philosophy_Jharkand Rai University.txt	Duplicate of SA_GV05_chup___u (identical source_url). Anonymous śruti Upaniṣad; mūla-only, no Śaṅkara-bhāṣya conflation.
SA_GV05_brupsb5u	Bṛhadāraṇyaka-Upaniṣad: Adhyāya 5	anonymous/traditional (associated with Yājñavalkya)	anonymous Vedic seers (mūla); Śaṅkara (bhāṣya)	conflated	True	gretil-header; secondary:cleaned_Encyclopedia of Indian Philosophies, Vol. 3 - Potter 1981.txt; secondary:cleaned_IN SEARCH OF A SAGE. YAJNAVALKYA...Lindquist	Two distinct strata: anonymous Vedic mūla + Śaṅkara's bhāṣya (genuine/undisputed). 'Yājñavalkya' is a traditional ascription/literary persona, not a documented author of this adhyāya.
SA_GV06_avpray_u	Atharvaprāyaścittāni	anonymous/traditional	anonymous	anonymous	False	gretil-header	Anonymous Atharvavedic ritual/Pariśiṣṭa text; no named author or compiler. Negelein is the modern editor only.
SA_GV05_chupsau	Chāndogya-Upaniṣad (Śaṅkarabhāṣya)	Śaṅkara (Ādi Śaṅkarācārya)	Śaṅkara (bhāṣya); anonymous Vedic seers (mūla)	secure	True	gretil-header; secondary:cleaned_Encyclopedia of Indian Philosophies, Vol. 3 - Potter 1981.txt	This item is the bhāṣya work: Śaṅkara's commentary is secure/undisputed, but the title embeds the anonymous Vedic mūla too; flagged as conflated since it bundles mūla + bhāṣya.
SA_GV05_brupsb6u	Bṛhadāraṇyaka-Upaniṣad: Adhyāya 6	anonymous/traditional (associated with Yājñavalkya)	anonymous Vedic seers (mūla); Śaṅkara (bhāṣya)	conflated	True	gretil-header; secondary:cleaned_Encyclopedia of Indian Philosophies, Vol. 3 - Potter 1981.txt	Anonymous Vedic mūla + Śaṅkara's bhāṣya (genuine). Yājñavalkya is a traditional ascription, not a verifiable author.
SA_GV05_brupsb1u	Bṛhadāraṇyaka-Upaniṣad	anonymous/traditional (associated with Yājñavalkya)	anonymous Vedic seers (mūla); Śaṅkara (bhāṣya)	conflated	True	gretil-header; secondary:cleaned_Encyclopedia of Indian Philosophies, Vol. 3 - Potter 1981.txt; secondary:cleaned_Isogesis...Tuck 1987.txt	Compilatory anonymous Vedic mūla (multiple hands, per Tuck) + Śaṅkara's bhāṣya. Yājñavalkya = traditional persona. Sureśvara's vārttika is on Śaṅkara's bhāṣya but is a distinct work not bundled here.
SA_GV05_chupsb_u	Chāndogya-Upaniṣad	anonymous/traditional (Vedic seers)	anonymous Vedic seers (mūla); Śaṅkara (bhāṣya, in source file)	conflated	True	gretil-header; secondary:cleaned_Encyclopedia of Indian Philosophies, Vol. 3 - Potter 1981.txt	Mūla anonymous (Vedic seers), but the cited source file conflates it with Śaṅkara's genuine bhāṣya; flagged conflated. Mūla attribution itself unchanged (anonymous).
SA_GV05_brupsb2u	Bṛhadāraṇyaka-Upaniṣad: Adhyāya 2	anonymous/traditional (associated with Yājñavalkya)	anonymous (Vedic mula, Vājasaneyin/Kāṇva school); Śaṅkara (bhāṣya)	conflated	True	gretil-header; secondary:cleaned_Early Upanisads. Annotated Text and Translation_Patrick Olivelle, 1998.txt	Single GRETIL file conflates anonymous Vedic mula with Śaṅkara's bhāṣya. Yājñavalkya is a traditional/eponymous figure (dialogue speaker), not the historical composer.
SA_GV05_brupsb4u	Bṛhadāraṇyaka-Upaniṣad: Adhyāya 4	anonymous/traditional (associated with Yājñavalkya)	anonymous (Vedic mula, Vājasaneyin/Kāṇva school); Śaṅkara (bhāṣya)	conflated	True	gretil-header; secondary:cleaned_Early Upanisads. Annotated Text and Translation_Patrick Olivelle, 1998.txt	Conflation of anonymous mula and Śaṅkara bhāṣya; Yājñavalkya is traditional dialogue speaker, not author.
SA_GV05_brupsb3u	Bṛhadāraṇyaka-Upaniṣad: Adhyāya 3	anonymous/traditional (associated with Yājñavalkya)	anonymous (Vedic mula, Vājasaneyin/Kāṇva school); Śaṅkara (bhāṣya)	conflated	True	gretil-header; secondary:cleaned_Early Upanisads. Annotated Text and Translation_Patrick Olivelle, 1998.txt	Conflation: anonymous Vedic mula + Śaṅkara bhāṣya. Yājñavalkya = traditional speaker of adhyāya 3 dialogues, not author.
SA_GV05_aitup__u	Aitareya-Upaniṣad	anonymous/traditional (attributed to the seer Aitareya Mahidāsa)	anonymous (Vedic mula, Ṛgveda / Aitareya school)	anonymous	False	gretil-header; secondary:cleaned_Early Upanisads...Olivelle 1998.txt; secondary:cleaned_Vedic Literature. Samhitas and Brahmanas_Jan Gonda, 1975.txt	Mula-only file; truly anonymous. Aitareya Mahidāsa is an eponymous/traditional namesake of the school, not a historical author.
SA_GV05_aitupsbu	Aitareya-Upaniṣad	anonymous/traditional (attributed to the seer Aitareya Mahidāsa)	anonymous (Vedic mula, Ṛgveda); Śaṅkara (bhāṣya)	conflated	True	gretil-header; secondary:cleaned_Early Upanisads...Olivelle 1998.txt	Conflation: anonymous Vedic mula + Śaṅkara bhāṣya. Eponymous traditional namesake (Mahidāsa) is not the author; bhāṣya ascribed to Śaṅkara.
